dg_id,player_name
10811,"Bremner, Merrick"
10828,"Pike, Aaron"
10829,"Bland, Adam"
10873,"Skinns, David"
10884,"Coetzee, George"
10886,"Harding, Justin"
10943,"Lashley, Nate"
11019,"Steele, Brendan"
11046,"Hurley III, Billy"
11048,"Saunders, Sam"
11049,"Simpson, Webb"
11061,"Morrison, James"
11082,"Burgoon, Bronson"
11117,"Noh, Seung-Yul"
11230,"Horsey, David"
11274,"Svoboda, Andrew"
11276,"Horschel, Billy"
11328,"Kisner, Kevin"
11329,"Reifers, Kyle"
11330,"Brown, Scott"
11354,"Stegmaier, Brett"
11357,"Uihlein, Peter"
11374,"Hahn, James"
11382,"Lovemark, Jamie"
11396,"Ramsay, Richie"
11397,"Jamieson, Scott"
11451,"Garnett, Brice"
11509,"Canizares, Alejandro"
11594,"McCarthy, Dan"
11619,"Bjerregaard, Lucas"
11657,"Norlander, Henrik"
11676,"Finau, Tony"
11702,"Kim, Whee"
11773,"Fujimoto, Yoshinori"
11826,"Lee, Danny"
11852,"Ahlers, Jaco"
11885,"Hendry, Mike"
11889,"Fox, Ryan"
11894,"Dinwiddie, Robert"
11911,"Etulain, Julian"
11952,"Grace, Branden"
11955,"Frittelli, Dylan"
11978,"Kruger, Jbe'"
12006,"Jacklin, Sean"
12069,"Stanley, Kyle"
12096,"Cho, Min-gyu"
12140,"Ichihara, Kodai"
12177,"Pavan, Andrea"
12188,"Kim, Bio"
12213,"Hebert, Benjamin"
12232,"Ishikawa, Ryo"
12254,"O'Leary, John"
12287,"Enoch, Rhys"
12294,"Fleetwood, Tommy"
12298,"Robinson, James"
12305,"Schneider, Cory"
12321,"Aphibarnrat, Kiradech"
12333,"Block, Michael"
12337,"Kokrak, Jason"
12339,"Prugh, Alex"
12349,"Knoll, Alex"
12359,"Stallings, Scott"
12413,"Lee, Richard T."
12414,"Schnell, Brady"
12422,"Johnson, Dustin"
12423,"Kirk, Chris"
12424,"Summerhays, Daniel"
12425,"Todd, Brendon"
12426,"Waring, Paul"
12427,"Coupland, David"
12451,"Wood, Chris"
12477,"McGirt, William"
12522,"Schneider, Marcel"
12530,"Green, Gavin Kyle"
12577,"Woodland, Gary"
12637,"Asaji, Yosuke"
12643,"Castro, Roberto"
12669,"Lahiri, Anirban"
12689,"Fathauer, Derek"
12734,"Scrivener, Jason"
12808,"Grillo, Emiliano"
12819,"Bekker, Oliver"
12846,"Herman, Jim"
12847,"Killeen, J.J."
12848,"Osborn, Garrett"
12920,"Willett, Danny"
12946,"Thompson, Michael"
12965,"Fowler, Rickie"
12978,"Borchert, Matthew"
12988,"Elvira Mijares, Ignacio"
12993,"Kim, Gi-Whan"
13013,"Bertasio, Nino"
13022,"Stuard, Brian"
13026,"Zhang, Xinjun"
13126,"Taylor, Nick"
13127,"Tway, Kevin"
13305,"Chappell, Kevin"
13307,"Kim, Sihwan"
13318,"Farr, Oliver"
13344,"Baldwin, Matthew"
13367,"Merritt, Troy"
13412,"Olesen, Thorbjorn"
13470,"Kizzire, Patton"
13485,"Imahira, Shugo"
13497,"Lee, Kyoung-Hoon"
13508,"Vegas, Jhonattan"
13528,"Akiyoshi, Shota"
13530,"Kawamura, Masahiro"
13531,"Kodaira, Satoshi"
13562,"Matsuyama, Hideki"
13731,"Strydom, Ockie"
13764,"Parry, John"
13767,"Schmuhl, Jason"
13831,"Knox, Russell"
13872,"Bradley, Keegan"
13900,"Lowry, Shane"
13919,"Jang, Dongkyu"
13944,"Pieters, Thomas"
13965,"Hadwin, Adam"
13971,"Baker, Chris"
13997,"Svensson, Adam"
14000,"Landry, Andrew"
14002,"Alexander, Tyson"
14007,"Martin, Ben"
14012,"Stefani, Shawn"
14013,"Tringale, Cameron"
14016,"Campillo, Jorge"
14018,"Dantorp, Jens"
14036,"Sucher, Zack"
14050,"Sloan, Roger"
14081,"Hoag, Bo"
14120,"Samooja, Kalle"
14127,"Pope, Andy"
14128,"Charoenkul, Gunn"
14139,"Thomas, Justin"
14140,"Higgs, Harry"
14178,"Warren, Shawn"
14181,"Detry, Thomas"
14196,"Meronk, Adrian"
14209,"Kozuma, Jinichiro"
14264,"Reynolds, Gabe"
14368,"Janewattananond, Jazz"
14373,"Campbell, Ben"
14409,"Wiebe, Gunner"
14424,"Burmester, Dean"
14459,"An, Byeong Hun"
14502,"Cauley, Bud"
14509,"Dahmen, Joel"
14559,"Vincent, Scott"
14565,"Park, Sung Joon"
14577,"English, Harris"
14578,"Henley, Russell"
14606,"Huh, John"
14609,"Kim, Si Woo"
14636,"Spieth, Jordan"
14655,"Murray, Grayson"
14666,"Johnston, Andrew"
14698,"Bramlett, Joseph"
14700,"Langley, Scott"
14704,"Putnam, Andrew"
14706,"Swafford, Hudson"
14729,"Izumida, Daijiro"
14735,"Ortiz, Carlos"
14775,"Bjork, Alexander"
14784,"Law, David"
14785,"Gibb, Judd"
14795,"Canter, Laurie"
14796,"Hatton, Tyrrell"
14798,"Miernicki, Daniel"
14799,"Barnes, Erik"
14815,"Lingmerth, David"
14837,"Randolph, Jonathan"
14838,"Reed, Patrick"
14852,"Streb, Robert"
14872,"Balin, Daniel"
14904,"Kinoshita, Ryosuke"
14926,"Malnati, Peter"
14951,"Saksansin, Poom"
14967,"Hadley, Chesson"
14973,"Levy, Alexander"
14975,"Otaegui, Adrian"
15004,"Kim, Chan"
15016,"Schwab, Matthias"
15019,"Choi, Min Chel"
15056,"Horikawa, Mikumu"
15113,"Pepperell, Eddie"
15115,"Senior, Jack"
15116,"Jertson, Marty"
15120,"Johnson, Michael"
15162,"Drewitt, Brett"
15164,"Lewis, Tom"
15165,"McCarthy, Ryan"
15168,"Papadatos, Dimi"
15172,"McCarthy, Nick"
15191,"Southgate, Matthew"
15193,"van Tonder, Daniel"
15209,"Curtis, Thomas"
15229,"Stone, Brandon"
15233,"Lee, Richard H."
15310,"Li, Haotong"
15318,"Loupe, Andrew"
15326,"Sullivan, Andy"
15330,"Griffin, Lanto"
15366,"Wang, Jeunghun"
15394,"Diaz, Roberto"
15427,"Harkins, Brandon"
15428,"Hocknull, Craig"
15466,"Cantlay, Patrick"
15470,"Hossler, Beau"
15473,"Long, Adam"
15475,"Pan, C.T."
15487,"Vazquez, Sebastian"
15556,"Hughes, Mackenzie"
15575,"Hoge, Tom"
15608,"Barber, Blayne"
15610,"Guthrie, Luke"
15634,"Trainer, Martin"
15651,"Ventura, Kristoffer"
15715,"Bulle, Kent"
15756,"Higa, Kazuki"
15852,"Kraft, Kelly"
15856,"Smith, Cameron"
15867,"Stewart, Michael"
15885,"Lawson, Deyen"
15953,"Oda, John"
15980,"Lipsky, David"
16039,"Haley II, Paul"
16160,"Song, Young-han"
16165,"Inamori, Yuki"
16213,"Arendell, Connor"
16243,"Koepka, Brooks"
16248,"Wilson, Cameron"
16283,"Rodgers, Patrick"
16333,"Hubbard, Mark"
16394,"Jaeger, Stephan"
16395,"Kohles, Ben"
16400,"Porteous, Garrick"
16424,"Boonma, Danthai"
16433,"NeSmith, Matt"
16475,"Forrest, Grant"
16488,"Browne Jr, Olin"
16497,"Dean, Joseph"
16549,"Paratore, Renato"
16566,"Barjon, Paul"
16602,"Varner III, Harold"
16648,"Tokimatsu, Ryuko"
16652,"Langasque, Romain"
16695,"Barron, Derek"
16715,"Ryder, Sam"
16786,"Fernandez Valdes, Jorge"
16841,"Lee, Min Woo"
16842,"Luck, Curtis"
16849,"Barco, Luis Fernando"
16897,"Lombard, Zander"
16918,"Sinnott, Todd"
17032,"Tosti, Alejandro"
17064,"Herbert, Lucas"
17068,"Daffue, MJ"
17081,"Sharma, Shubhankar"
17146,"McLeod, Jake"
17266,"Yuan, Carl"
17273,"Fischer, Zack"
17276,"Sullivan, Ryan"
17345,"Naegel, Chris"
