event,tournament_name
event_Masters Tournament,Masters Tournament
event_PGA Championship,PGA Championship
event_THE PLAYERS Championship,THE PLAYERS Championship
event_The Open Championship,The Open Championship
event_U.S. Open,U.S. Open
